Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1972","1972","°c","-0.04","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1973","1973","°c","0.465","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1974","1974","°c","-0.188","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1975","1975","°c","0.109","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1976","1976","°c","-0.372","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1977","1977","°c","0.09","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1978","1978","°c","0.138","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1979","1979","°c","0.412","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1980","1980","°c","0.673","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1981","1981","°c","0.529","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1982","1982","°c","0.298","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1983","1983","°c","0.972","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1984","1984","°c","0.606","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1985","1985","°c","-0.076","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1986","1986","°c","0.621","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1987","1987","°c","0.685","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1988","1988","°c","1.052","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1989","1989","°c","0.181","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1990","1990","°c","0.763","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1991","1991","°c","0.244","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1992","1992","°c","0.569","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1993","1993","°c","0.474","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1994","1994","°c","0.57","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1995","1995","°c","0.362","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1996","1996","°c","0.417","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7004","April","1997","1997","°c","-0.089","E","Estimated value"
